inscricao;deferimento;renda_mensal
89512;1;954.0
89514;1;874.9975000000002
89515;1;312.34
89518;0;568.5
89519;1;1046.4
89521;1;1155.2224999999999
89522;1;266.6666666666667
89525;1;474.465
89526;1;580.75
89529;1;666.0
89531;1;767.1566666666668
89534;1;717.3333333333334
89539;1;833.25
89541;1;837.5
89547;1;380.0
89548;1;318.00666666666666
89559;1;1007.0
89562;1;477.0
89565;1;561.6666666666666
89568;1;190.8
89575;1;820.6
89579;0;1022.2525
89581;1;638.216
89582;1;623.3333333333334
89583;1;954.0
89586;1;536.5
89588;1;626.0
89589;1;900.0
89590;1;316.2
89592;1;855.0033333333334
89593;1;324.0
89597;1;1064.525
89598;1;500.0
89612;1;875.7966666666667
89614;1;550.0
89615;1;318.0
89619;1;333.71714285714285
89620;0;448.3333333333333
89625;1;1071.1833333333334
89631;0;751.7366666666667
89633;0;725.0
89638;1;544.6666666666666
89639;1;740.75
89645;1;814.46
89647;1;1225.2933333333333
89659;1;378.38166666666666
89660;1;850.0
89661;1;1055.5533333333333
89673;1;450.0
89674;1;1323.39
89678;1;420.65000000000003
89681;1;1128.5
89682;1;1292.82
89683;1;835.58
89684;1;800.0
89688;1;369.0
89692;1;265.0
89693;1;1073.0
89694;1;659.0
89697;1;613.11
89700;1;268.75
89709;1;432.5
89711;1;556.6666666666666
89712;1;1366.2033333333336
89715;1;877.3333333333334
89719;1;1408.8100000000002
89723;1;237.5
89727;1;487.5
89731;1;1186.9
89732;1;1138.7325
89743;1;521.8775
89747;1;328.62
89748;0;768.3333333333334
89761;1;980.182
89762;1;465.5
89767;1;1285.0
89769;0;212.2
89776;1;775.6800000000001
89777;0;1582.0933333333332
89781;0;950.0
89782;1;1100.0
89783;0;925.0
89785;1;477.0
89792;0;1075.0
89793;1;1239.3016666666667
89795;0;483.3333333333333
89798;0;1923.51
89799;1;305.3933333333333
89804;1;650.0
89806;1;667.0
89807;1;1038.775
89809;1;329.026
89810;1;1271.3333333333333
89813;1;212.5
89818;1;548.0
89821;1;425.63000000000005
89826;1;0.0
89828;1;653.75
89832;1;1150.7
89833;1;584.6666666666666
89844;1;530.9159999999999
89848;1;838.2275
89850;0;550.0
89853;1;1129.0
89855;1;569.3333333333334
89858;0;1000.0
89859;1;883.9000000000001
89864;1;583.3333333333334
89865;1;590.365
89868;1;350.44666666666666
89870;1;563.5
89879;1;375.6175
89883;1;1298.295
89894;0;532.58
89896;1;375.005
89897;1;500.0
89901;1;767.56
89902;1;861.8979999999999
89905;1;712.5
89906;0;318.0
89908;0;1466.28
89909;1;529.99
89918;1;773.5
89920;1;702.7525
89925;1;50.0
89926;1;350.0
89929;1;484.25
89934;0;846.4775
89939;1;878.8433333333332
89941;1;965.0
89947;1;566.6666666666666
89953;1;381.6
89956;1;318.0
89957;1;0.0
89962;1;300.0
89965;1;830.8525
89970;1;477.2
89977;1;0.0
89981;1;1019.205
89991;1;425.0
89995;1;375.0
89996;1;318.0
89997;1;916.8575
90000;1;621.985
90001;1;260.0
90004;1;1020.0
90007;1;423.75
90010;1;481.85
90011;1;477.0
90014;1;539.25
90016;1;477.0
90023;0;477.0
90025;1;492.6666666666667
90028;0;1200.0
90033;1;409.0
90036;1;704.52
90039;1;250.0
90042;1;210.415
90043;1;613.77
90045;1;437.0
90047;0;458.3333333333333
90048;0;0.0
90049;1;1206.1933333333334
90051;1;742.6666666666666
90053;1;400.0
90057;1;885.7975
90059;1;730.8
90060;0;1263.3466666666666
90063;1;948.7075
90068;1;427.812
90074;1;1034.35
90084;0;507.0
90085;1;424.3333333333333
90091;1;583.4024999999999
90092;1;433.3333333333333
90094;0;300.0
90095;1;436.31
90098;0;920.0
