id;inscricao;deferimento;rendaTotal
88;90187;s;600.0
89;90210;n;1800.0
90;90214;s;500.0
91;90219;n;1217.0
92;90243;s;4797.5199999999995
93;90250;n;0.0
94;90297;s;655.89
95;90308;n;4166.0
96;90319;s;2644.2
97;91576;s;2250.0
98;93017;s;1980.01
99;93023;s;938.02
100;93175;s;2500.0200000000004
101;93732;s;2180.0300000000007
102;95256;s;1090.0
103;95295;s;2279.15
104;95541;s;954.01
105;95551;s;1400.0
106;95586;s;0.0
107;95598;s;700.02
108;95654;s;1678.3200000000002
109;95712;s;450.0
110;95723;s;0.0
111;95793;s;2130.0
112;95819;s;0.0
113;95822;s;0.0
114;95859;s;1000.0
115;95866;s;0.0
116;95872;s;0.0
117;95911;s;1123.5
118;95914;s;0.0
119;95926;s;800.03
120;95929;n;500.0
121;95930;s;1100.0
122;95933;s;0.0
123;95937;n;0.0
124;95940;s;3400.0
125;95981;s;880.52
126;96012;s;950.0
127;96029;n;85.0
128;96068;n;500.0
129;96120;s;550.0
130;96127;s;1464.0
131;96237;s;1500.0
132;96241;n;0.0
133;96312;n;5106.82
134;96320;s;4000.03
135;96324;s;1093.62
136;96334;s;3352.02
137;96335;s;1730.7
138;96339;s;1990.0
139;96347;s;3017.98
140;96353;s;477.02
141;96371;s;4194.0
142;96376;s;1431.0
143;96388;n;3000.0300000000007
144;96396;s;0.0
145;96407;s;630.0
146;96417;s;1600.0
147;96421;n;300.0
148;96431;s;1460.0
149;96433;s;600.0
150;96436;s;1200.01
151;96441;s;1500.01
152;96449;s;3503.7200000000003
153;96454;n;1834.04
154;96460;s;1351.8
155;96471;s;2300.0
156;96479;s;1100.0
157;96483;n;1000.0
158;96486;s;2700.01
159;96493;n;0.0
160;96504;n;700.0
161;96514;s;1117.8
162;96516;s;1000.0
163;96522;n;3992.0
164;96523;s;3476.0
165;96527;s;1200.0
166;96532;s;1350.0
167;96537;s;954.0
168;96540;s;1202.41
169;96545;n;750.0
170;96548;s;1065.0
171;96551;s;2203.0
172;96552;s;2775.65
173;96559;s;896.0
174;96560;s;0.0
175;96567;s;950.0
176;96576;s;5200.02
177;96579;s;1354.0
178;96580;s;1727.0
179;96581;s;280.0
180;96584;n;0.0
181;96592;s;1554.02
182;96597;n;0.0
183;96601;s;1402.57
184;96624;s;1323.0
185;96634;s;3406.45
186;96651;s;0.0
187;96658;s;1600.01
188;96674;s;1234.0
189;96675;n;550.0
190;96677;s;1634.98
191;96679;s;1423.98
192;96685;s;2254.73
193;96696;n;900.0
194;96700;n;2000.0
195;96702;s;3853.79
196;96703;n;2000.0
197;96719;s;2682.02
198;96726;n;200.0
199;96728;s;1450.0
200;96732;s;2722.81
201;96744;s;600.0
202;96749;s;3272.4400000000005
203;96761;s;800.03
204;96767;n;7299.51
205;96770;s;1100.0
206;96773;s;1465.0
207;96790;n;5829.89
208;96799;n;0.0
209;96804;n;0.0
210;96806;s;1000.01
211;96807;s;2354.12
212;96813;s;2000.02
213;96815;s;3241.75
214;96828;s;0.0
215;96830;s;0.0
216;96831;s;2600.0
217;96838;s;3130.81
218;96843;s;1000.02
219;96845;s;1736.0
220;96851;s;800.0
221;96856;s;1045.1
222;96859;n;840.0
223;96864;s;1336.01
224;96866;n;2100.0
225;96867;s;1400.0
226;96874;s;929.87
227;96885;s;1350.0
228;96886;s;1572.43
229;96887;s;954.0
230;96906;s;1375.81
231;96909;s;3233.01
232;96915;s;2500.03
233;96916;s;2750.84
234;96920;s;2206.85
235;96923;s;3570.8100000000004
236;96925;n;0.0
237;96937;s;4037.16
238;96938;s;2400.0
239;96943;s;0.0
240;96947;s;1800.0
241;96954;n;979.8
242;96956;s;1377.49
243;96961;s;500.0
244;96974;s;436.2
245;96978;s;200.0
246;96980;s;1748.51
247;96987;s;2883.17
248;96988;s;1000.03
249;96991;n;600.0
250;97006;s;3092.96
251;97009;s;400.0
252;97015;s;890.0
253;97019;s;2536.9000000000005
254;97022;s;1100.02
255;97024;n;600.0
256;97033;s;1667.52
257;97040;s;700.0
258;97056;s;1065.01
259;97060;s;2111.2
260;97082;s;2065.0299999999997
261;97086;n;500.0
262;97095;n;801.0
263;97112;n;250.0
264;97114;n;5379.1
265;97119;s;1200.0
266;97121;s;700.0
267;97134;s;950.0
268;97137;s;2812.01
269;97144;n;1350.03
270;97149;s;0.0
271;97159;s;160.0
272;97162;s;400.0
273;97166;s;1976.4099999999999
274;97176;s;1523.0
275;97214;s;1254.0
276;97216;s;2552.0
277;97236;s;1900.0
278;97238;s;5408.02
279;97246;n;0.0
280;97248;s;2098.42
281;97256;s;3339.17
282;97266;s;1231.15
283;97272;s;0.0
284;97278;s;2308.0
285;97279;s;1000.0
286;97281;s;2474.04
287;97300;n;1207.02
288;97301;s;1200.01
289;97306;n;930.0
290;97317;s;1150.01
291;97323;s;800.01
292;97327;s;0.0
293;97337;s;3152.4500000000003
294;97344;s;1089.93
295;97348;s;1229.09
296;97360;s;5259.4
297;97366;s;0.0
298;97368;s;5079.02
299;97380;n;10675.6
300;97383;s;954.03
301;97386;n;1154.0
302;97388;s;3606.7800000000007
303;97389;s;1500.01
304;97390;s;1300.0
305;97398;s;1140.02
306;97401;s;700.01
307;97406;s;0.0
308;97412;s;4720.0
309;97417;n;4315.41
310;97420;s;1597.34
311;97439;s;0.0
312;97442;n;6751.210000000001
313;97451;n;0.0
314;97454;s;0.0
