;codigo;deferimento;level_2;0
167;96537;s;renda_mensal;954.0
168;96540;s;renda_mensal;1202.41
169;96545;n;renda_mensal;750.0
170;96548;s;renda_mensal;1065.0
171;96551;s;renda_mensal;2203.0
172;96552;s;renda_mensal;2775.65
173;96559;s;renda_mensal;896.0
174;96560;s;renda_mensal;0.0
175;96567;s;renda_mensal;950.0
176;96576;s;renda_mensal;5200.02
177;96579;s;renda_mensal;1354.0
178;96580;s;renda_mensal;1727.0
179;96581;s;renda_mensal;280.0
180;96584;n;renda_mensal;0.0
181;96592;s;renda_mensal;1554.02
182;96597;n;renda_mensal;0.0
183;96601;s;renda_mensal;1402.57
184;96624;s;renda_mensal;1323.0
185;96634;s;renda_mensal;3406.45
186;96651;s;renda_mensal;0.0
187;96658;s;renda_mensal;1600.01
188;96674;s;renda_mensal;1234.0
189;96675;n;renda_mensal;550.0
190;96677;s;renda_mensal;1634.98
191;96679;s;renda_mensal;1423.98
192;96685;s;renda_mensal;2254.73
193;96696;n;renda_mensal;900.0
194;96700;n;renda_mensal;2000.0
195;96702;s;renda_mensal;3853.79
196;96703;n;renda_mensal;2000.0
197;96719;s;renda_mensal;2682.02
198;96726;n;renda_mensal;200.0
199;96728;s;renda_mensal;1450.0
200;96732;s;renda_mensal;2722.81
201;96744;s;renda_mensal;600.0
202;96749;s;renda_mensal;3272.4400000000005
203;96761;s;renda_mensal;800.03
204;96767;n;renda_mensal;7299.51
205;96770;s;renda_mensal;1100.0
206;96773;s;renda_mensal;1465.0
207;96790;n;renda_mensal;5829.89
208;96799;n;renda_mensal;0.0
209;96804;n;renda_mensal;0.0
210;96806;s;renda_mensal;1000.01
211;96807;s;renda_mensal;2354.12
212;96813;s;renda_mensal;2000.02
213;96815;s;renda_mensal;3241.75
214;96828;s;renda_mensal;0.0
215;96830;s;renda_mensal;0.0
216;96831;s;renda_mensal;2600.0
217;96838;s;renda_mensal;3130.81
218;96843;s;renda_mensal;1000.02
219;96845;s;renda_mensal;1736.0
220;96851;s;renda_mensal;800.0
221;96856;s;renda_mensal;1045.1
222;96859;n;renda_mensal;840.0
223;96864;s;renda_mensal;1336.01
224;96866;n;renda_mensal;2100.0
225;96867;s;renda_mensal;1400.0
226;96874;s;renda_mensal;929.87
227;96885;s;renda_mensal;1350.0
228;96886;s;renda_mensal;1572.43
229;96887;s;renda_mensal;954.0
230;96906;s;renda_mensal;1375.81
231;96909;s;renda_mensal;3233.01
232;96915;s;renda_mensal;2500.03
233;96916;s;renda_mensal;2750.84
234;96920;s;renda_mensal;2206.85
235;96923;s;renda_mensal;3570.8100000000004
236;96925;n;renda_mensal;0.0
237;96937;s;renda_mensal;4037.16
238;96938;s;renda_mensal;2400.0
239;96943;s;renda_mensal;0.0
240;96947;s;renda_mensal;1800.0
241;96954;n;renda_mensal;979.8
242;96956;s;renda_mensal;1377.49
243;96961;s;renda_mensal;500.0
244;96974;s;renda_mensal;436.2
245;96978;s;renda_mensal;200.0
246;96980;s;renda_mensal;1748.51
247;96987;s;renda_mensal;2883.17
248;96988;s;renda_mensal;1000.03
249;96991;n;renda_mensal;600.0
250;97006;s;renda_mensal;3092.96
251;97009;s;renda_mensal;400.0
252;97015;s;renda_mensal;890.0
253;97019;s;renda_mensal;2536.9000000000005
254;97022;s;renda_mensal;1100.02
255;97024;n;renda_mensal;600.0
256;97033;s;renda_mensal;1667.52
257;97040;s;renda_mensal;700.0
258;97056;s;renda_mensal;1065.01
259;97060;s;renda_mensal;2111.2
260;97082;s;renda_mensal;2065.0299999999997
261;97086;n;renda_mensal;500.0
262;97095;n;renda_mensal;801.0
263;97112;n;renda_mensal;250.0
264;97114;n;renda_mensal;5379.1
265;97119;s;renda_mensal;1200.0
266;97121;s;renda_mensal;700.0
267;97134;s;renda_mensal;950.0
268;97137;s;renda_mensal;2812.01
269;97144;n;renda_mensal;1350.03
270;97149;s;renda_mensal;0.0
271;97159;s;renda_mensal;160.0
272;97162;s;renda_mensal;400.0
273;97166;s;renda_mensal;1976.4099999999999
274;97176;s;renda_mensal;1523.0
275;97214;s;renda_mensal;1254.0
276;97216;s;renda_mensal;2552.0
277;97236;s;renda_mensal;1900.0
278;97238;s;renda_mensal;5408.02
279;97246;n;renda_mensal;0.0
280;97248;s;renda_mensal;2098.42
281;97256;s;renda_mensal;3339.17
282;97266;s;renda_mensal;1231.15
283;97272;s;renda_mensal;0.0
284;97278;s;renda_mensal;2308.0
285;97279;s;renda_mensal;1000.0
286;97281;s;renda_mensal;2474.04
287;97300;n;renda_mensal;1207.02
288;97301;s;renda_mensal;1200.01
289;97306;n;renda_mensal;930.0
290;97317;s;renda_mensal;1150.01
291;97323;s;renda_mensal;800.01
292;97327;s;renda_mensal;0.0
293;97337;s;renda_mensal;3152.4500000000003
294;97344;s;renda_mensal;1089.93
295;97348;s;renda_mensal;1229.09
296;97360;s;renda_mensal;5259.4
297;97366;s;renda_mensal;0.0
298;97368;s;renda_mensal;5079.02
299;97380;n;renda_mensal;10675.6
300;97383;s;renda_mensal;954.03
301;97386;n;renda_mensal;1154.0
302;97388;s;renda_mensal;3606.7800000000007
303;97389;s;renda_mensal;1500.01
304;97390;s;renda_mensal;1300.0
305;97398;s;renda_mensal;1140.02
306;97401;s;renda_mensal;700.01
307;97406;s;renda_mensal;0.0
308;97412;s;renda_mensal;4720.0
309;97417;n;renda_mensal;4315.41
310;97420;s;renda_mensal;1597.34
311;97439;s;renda_mensal;0.0
312;97442;n;renda_mensal;6751.210000000001
313;97451;n;renda_mensal;0.0
314;97454;s;renda_mensal;0.0
315;97457;s;renda_mensal;750.0
316;97464;s;renda_mensal;3070.2200000000003
317;97466;s;renda_mensal;941.13
318;97468;s;renda_mensal;1254.0
319;97473;s;renda_mensal;1022.0
320;97475;s;renda_mensal;2409.6400000000003
321;97484;n;renda_mensal;500.0
322;97486;n;renda_mensal;0.0
323;97491;n;renda_mensal;1065.0
324;97496;s;renda_mensal;954.02
325;97499;n;renda_mensal;1634.98
326;97503;s;renda_mensal;1922.03
327;97522;s;renda_mensal;2355.3100000000004
