id;inscricao;resultado;renda_media
257;88855;s;776.5733333333334
258;88857;s;1236.4025000000001
259;88859;s;600.0
260;88861;s;636.525
261;88864;s;1103.0149999999999
262;88865;s;75.83250000000001
263;88867;s;713.6666666666666
264;88869;s;627.0
265;88871;s;937.0
266;88872;s;477.0
267;88876;s;533.3333333333334
268;88879;s;751.2066666666666
269;88881;s;821.624
270;88882;s;374.0
271;88883;s;250.0
272;88886;s;374.0
273;88887;s;374.0
274;88899;s;413.0
275;88904;n;400.0
276;88905;s;466.6666666666667
277;88906;s;375.16428571428565
278;88910;s;1116.388
279;88911;n;993.75
280;88915;n;715.5
281;88916;s;1333.3333333333333
282;88927;s;834.5066666666667
283;88932;n;1069.0
284;88944;s;578.25
285;88946;s;799.475
286;88948;s;655.0
287;88951;s;866.4
288;88953;s;250.0
289;88956;s;274.0
290;88957;n;271.6
291;88958;s;991.8625
292;88961;s;500.0
293;88966;s;616.0
294;88971;s;765.0
295;88973;s;275.0
296;88977;s;732.25
297;88978;s;400.0
298;88980;s;1122.782
299;88983;s;200.0
300;88987;s;316.6666666666667
301;88988;s;712.3333333333334
302;88990;s;750.0
303;88991;n;750.0
304;88993;s;477.68
305;89003;n;668.5
306;89006;s;1199.76
307;89013;s;336.15
308;89017;s;685.6975
309;89022;s;1212.3333333333333
310;89028;s;332.3333333333333
311;89029;s;318.0
312;89036;s;421.65
313;89039;s;241.75
314;89042;n;1277.8525
315;89045;s;517.5
316;89046;s;480.51750000000004
317;89047;s;436.6666666666667
318;89048;s;654.6025
319;89056;s;324.3333333333333
320;89061;s;300.0
321;89062;s;502.19400000000013
322;89075;s;450.0
323;89077;s;933.925
324;89083;s;1244.072
325;89086;s;831.3774999999999
326;89091;s;706.9533333333333
327;89092;s;500.0
328;89094;s;1051.234
329;89096;s;312.3333333333333
330;89105;s;1044.774
331;89111;s;1060.6
332;89116;n;0.0
333;89120;s;783.71
334;89125;s;566.6666666666666
335;89128;s;190.8
336;89129;s;365.305
337;89134;s;482.4883333333334
338;89137;s;791.0099999999999
339;89147;s;555.8299999999999
340;89151;n;2821.1299999999997
341;89162;s;975.0
342;89163;n;1333.3333333333333
343;89164;s;425.0
344;89165;s;1361.78
345;89168;s;1015.0
346;89170;s;747.4
347;89181;s;750.0
348;89188;n;600.0
349;89189;s;485.89833333333337
350;89199;s;1300.7725
351;89202;n;1539.7
352;89207;s;480.0
353;89211;s;1188.7925
354;89212;s;0.0
355;89215;s;250.0
356;89216;s;287.2875
357;89218;s;1243.8400000000001
358;89223;s;529.8333333333334
359;89226;s;635.5
360;89231;s;250.0
361;89235;n;350.0
362;89236;s;468.47
363;89237;s;477.0
364;89242;s;948.3333333333334
365;89244;s;222.8
366;89251;s;505.6666666666667
367;89253;s;922.75
368;89254;s;1360.5
369;89263;s;430.67
370;89269;s;343.3333333333333
371;89271;s;690.9699999999999
372;89278;s;812.396
373;89280;s;333.3333333333333
374;89287;s;996.5
375;89291;s;318.0
376;89296;s;549.3333333333334
377;89300;s;973.65
378;89301;s;624.6666666666666
379;89304;n;448.75
380;89317;n;519.385
381;89324;s;652.6650000000002
382;89328;s;318.0
383;89330;s;559.0
384;89331;s;482.6666666666667
385;89334;n;389.79333333333335
386;89335;s;582.5
387;89336;s;917.1375
388;89338;s;434.4
389;89346;s;266.6666666666667
390;89356;s;549.8225
391;89365;s;1088.0825
392;89368;s;1390.465
393;89372;s;740.6666666666666
394;89373;s;454.6666666666667
395;89376;s;1175.0
396;89380;n;397.5
397;89385;s;780.25
398;89389;s;600.0
399;89393;s;337.5
400;89394;s;600.0
401;89397;s;666.6666666666666
402;89406;s;1037.5166666666667
403;89410;s;1000.0
404;89413;s;971.41
405;89414;s;682.115
406;89421;s;669.3333333333334
407;89423;s;855.4566666666666
408;89425;s;1000.0
409;89427;s;382.05
410;89430;s;432.6
411;89442;s;585.105
412;89443;s;559.72
413;89444;s;1064.1575
414;89445;s;1312.3333333333333
415;89447;s;353.0
416;89448;s;389.0
417;89450;s;667.15
418;89453;s;631.0600000000001
419;89459;s;665.4133333333333
