codigo;deferimento;renda_mensal
89278;s;
89278;s;
90338;s;
90377;s;968.14
90377;s;1400
90377;s;
90377;s;
89953;s;
89953;s;
90186;s;3696.76
90266;s;2581.34
90266;s;
88265;s;
88265;s;
88265;s;954
90186;s;
90186;s;
90186;s;
89953;s;
89953;s;954
89953;s;954
90377;s;
88886;s;935
95930;s;400
95930;s;300
95930;s;400
90106;s;
90106;s;
90106;s;1200
90186;s;
90045;s;
90045;s;
89793;s;4049.04
90208;s;1429
90208;s;
90208;s;
89445;s;400
89445;s;2500
89445;s;1037
88886;s;
88886;s;
88886;s;
88886;s;935
89970;s;
89970;s;
89970;s;
89970;s;1449
89970;s;937
88763;s;
88763;s;
88763;s;1100
89207;s;
89207;s;960
88864;s;
88864;s;
88864;s;2014.08
88864;s;2397.98
90346;s;
90346;s;954
90346;s;954
88762;s;924
88762;s;
89926;s;1400
89926;s;
89926;s;
89926;s;
88762;s;
89356;s;
89356;s;1058.63
89855;s;1708
89855;s;
89855;s;
89356;s;1140.66
89356;s;
88602;s;
88602;s;1652.46
88602;s;954
88602;s;661.25
88762;s;
88762;s;250
88225;s;2075
88225;s;
88225;s;
88225;s;1055
88733;s;
88733;s;2848.14
88733;s;
89046;s;954
89046;s;
89046;s;
89046;s;968.07
88390;s;2281
88390;s;350
88390;s;
88390;s;350
88390;s;937
89443;s;
89443;s;
89443;s;1679.16
88500;s;375
95598;s;0.01
95598;s;0.01
95598;s;700
88500;s;
88500;s;375
88054;s;
89147;s;696.66
89147;s;
89147;s;696.66
89147;s;830
89330;s;477
89330;s;
89330;s;1200
89223;s;1089.5
89223;s;500
89223;s;
89075;s;2700
89075;s;
89075;s;
89075;s;
89075;s;
89075;s;
88854;s;
88854;s;2445.47
88854;s;
88054;s;615
88054;s;
88054;s;1500
88054;s;4025
88492;s;9999.99
88492;s;9999.99
88492;s;9999.99
89017;s;1637.17
89017;s;
89017;s;
89017;s;1105.62
88315;s;
88180;s;
88180;s;
88180;s;1643.72
88180;s;
95687;s;
95687;s;1970
95687;s;
95862;s;1284.4
95862;s;
95862;s;
95862;s;1967.6
95687;s;
88492;s;570.43
96176;s;
96176;s;
96176;s;
96176;s;1272
88804;s;
88315;s;1200
88315;s;
88315;s;1525.96
96098;s;
96098;s;
96098;s;1189
96098;s;
88804;s;
88804;s;
88804;s;2910.91
89512;s;954
89512;s;954
96013;s;
96013;s;1600
88649;s;1054
88649;s;
88649;s;
88649;s;
88649;s;
89211;s;
89211;s;3818.17
89211;s;937
89211;s;
89693;s;1073
89693;s;1073
89693;s;1073
89693;s;1073
88427;s;2500
88427;s;
90218;s;
90218;s;
90218;s;1046
88427;s;
89487;s;937
89487;s;
89487;s;
88612;s;1300
88612;s;954
88612;s;
88612;s;
89505;s;2166.66
89505;s;
89505;s;2296.25
89505;s;937
89525;s;1197.86
89296;s;354
89296;s;940
89296;s;354
89809;s;954
89809;s;691.13
89809;s;
89809;s;
89809;s;
89525;s;
89525;s;
89525;s;700
89785;s;
89785;s;954
90263;s;280
90263;s;
90263;s;1294.5
90263;s;
89810;s;2860
89810;s;954
89810;s;
88298;s;979.8
88298;s;
88115;s;
88115;s;
88115;s;2848.14
88310;s;
88310;s;1600
88310;s;
89125;s;800
89125;s;900
89598;s;
89598;s;1000
89598;s;1000
89598;s;
88310;s;
88310;s;680
88310;s;930
90138;s;
90138;s;
89373;s;964
89373;s;
89373;s;400
89467;s;
89467;s;
89467;s;936.45
89467;s;936.45
89328;s;954
89328;s;
89328;s;
88343;s;450
88343;s;
88343;s;1165
88343;s;1500
89125;s;
89821;s;1276.89
89821;s;
89821;s;
90138;s;1000
88845;s;2460.58
88845;s;
89212;s;
89212;s;
89619;s;1119.02
89619;s;
89793;s;474
89793;s;1522.4
89425;s;
89425;s;
89425;s;
89425;s;4000
89793;s;1100.37
89793;s;
89793;s;290
88021;s;
89619;s;1217
89619;s;
89619;s;
89619;s;
89619;s;
89129;s;
89129;s;
89129;s;
89129;s;1461.22
95617;s;1000
95617;s;
88326;s;2100
88326;s;
88326;s;
88326;s;1060
95982;s;
95982;s;
89615;s;
89615;s;
89615;s;954
95702;s;1200
95702;s;
95702;s;
88728;s;1116.25
88728;s;
88978;s;
88978;s;800
96127;s;1200
96127;s;264
95982;s;1559.5
95982;s;
88292;s;
88292;s;
88292;s;
88292;s;1467
88824;s;3141
88824;s;
88824;s;
88824;s;1609
89547;s;700
89547;s;
89547;s;1200
89547;s;
89547;s;
90014;s;
90014;s;
90014;s;1200
88958;s;1544.6
88958;s;1485.85
88958;s;
88958;s;937
89559;s;
89559;s;350
89559;s;
89559;s;
89559;s;4685
90014;s;957
88719;s;1515
88719;s;2168
88719;s;
89747;s;
89747;s;
89747;s;1314.48
89747;s;
88626;s;
88626;s;
88626;s;700
88089;s;
88089;s;
88089;s;
88089;s;
88812;s;1195.68
88812;s;200
88741;s;954
88741;s;
88741;s;650
88741;s;
88741;s;1414.04
88741;s;200
90033;s;1200
90033;s;
90033;s;436
90033;s;
90121;s;
90121;s;
90121;s;487
90298;s;
90298;s;1200
90298;s;
89681;s;
89681;s;4514
89681;s;
89681;s;
88865;s;1.11
88865;s;300
88865;s;1.11
88865;s;1.11
89678;s;1261.95
88087;s;1440
88087;s;
88087;s;
89828;s;1190
89828;s;
89828;s;225
89828;s;1200
89164;s;1200
89164;s;500
